seed,maximum observed yield
396859,89.17
549785,83.83
835323,96.64
831132,89.17
499407,88.41
503469,100.0
13061,95.48
540250,85.21
293942,84.81
503878,88.89
494060,99.81
168823,99.81
482617,89.17
252637,89.95
52971,99.81
170063,100.0
572743,99.98
868617,78.19
95243,58.95
98696,99.98
531073,80.61
595331,80.65
608851,100.0
992570,99.98
419324,98.38
172285,100.0
542383,79.76
638580,76.68
78252,89.71
643646,98.38
710293,99.22
577635,95.48
39386,99.98
399893,86.37
532221,98.38
984910,91.27
459340,100.0
539298,86.14
867877,86.37
907437,89.17
121663,99.22
440865,84.64
728951,84.17
583546,84.17
8837,99.22
964165,100.0
682586,92.19
80898,99.98
741689,98.38
421687,99.81
