seed,maximum observed yield
502445,100.0
785776,99.98
294585,100.0
495291,89.14
12751,100.0
550982,89.17
596507,91.27
36296,91.27
27151,89.17
980721,100.0
910165,85.24
984711,100.0
173253,99.98
619115,100.0
162766,98.38
665775,100.0
169299,100.0
381692,100.0
412461,100.0
15029,100.0
79175,89.17
53535,100.0
515241,100.0
736999,100.0
536893,91.27
278380,99.98
480458,100.0
650672,100.0
915527,89.17
357280,100.0
803472,100.0
717990,100.0
358348,100.0
23159,100.0
608584,100.0
344142,100.0
747919,84.62
857452,89.17
404985,100.0
178451,100.0
869496,100.0
915387,100.0
450354,89.17
819211,91.27
340555,92.19
125721,100.0
935332,100.0
71063,100.0
944679,100.0
134655,89.14
