CN,NN,Rate Constants
Cc3ccc(c2ccc(c1ccccc1)cc2)nc3,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,1.528606903
Cc2ccc(c1ccc(F)cc1)nc2,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,0.823096024
c3ccc(c2nc1ccccc1s2)cc3,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,1.18891648
c3ccc(c2nc1ccccc1o2)cc3,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,1.18891648
Cc3ccc(c2nc1ccccc1o2)cc3,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,1.33753104
COc3ccc(c2nc1ccccc1s2)cc3,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,1.33753104
COc3ccc(c2nc1ccccc1o2)cc3,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,1.070024832
Fc3ccc(c2nc1ccccc1o2)cc3,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,0.59445824
Clc3ccc(c2nc1ccccc1s2)cc3,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,0.764303451
Clc3ccc(c2nc1ccccc1o2)cc3,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,0.89168736
Cc2ccc(c1ccc(Cl)cc1)nc2,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,1.18891648
FC(F)(F)c3ccc(c2nc1ccccc1s2)cc3,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,0.713349888
FC(F)(F)c3ccc(c2nc1ccccc1o2)cc3,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,1.070024832
Cc2ccc(c1cccc(C#N)c1)nc2,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,0.764303451
COc2cccc(c1ccc(C)cn1)c2,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,1.07E-05
Cc2ccc(c1ccc(S(C)(=O)=O)cc1)nc2,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,1.33753104
Cc2ccc(c1ccc(OC(F)(F)F)cc1)nc2,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,0.972749847
Cc3ccc(c2ccc1ccccc1c2)nc3,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,1.528606903
Cc2ccc(c1ccc(C)cn1)cc2,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,1.33753104
Cc4ccc(c3ccc(N(c1ccccc1)c2ccccc2)cc3)nc4,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,0.267506208
c4ccc(c3ccc(c2cc(c1ccccc1)ccn2)cc3)cc4,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,2.675062079
Fc2ccc(c1ccccn1)cc2,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,0.972749847
Cc2ccc(c1cccc(F)c1)nc2,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,1.33753104
Cc2ccc(c1ccccc1F)nc2,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,1.18891648
Cc2ccc(c1ccc(F)c(C(F)(F)F)c1)nc2,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,0.764303451
Cc2ccc(c1cccc(Cl)c1)nc2,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,1.18891648
c2ccc(Cc1ccccn1)cc2,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,1.070024832
Cc2ccc(c1ccc(C#N)cc1)nc2,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,1.070024832
CCc2ccc(c1ccccc1)nc2,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,1.18891648
Cc2cnc(c1ccccc1)cc2c3ccccc3,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,1.33753104
Fc3ccc(c2cc(c1ccccc1)ccn2)cc3,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,2.675062079
CCc2ccc(c1ccc(Cl)cc1)nc2,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,1.070024832
Clc3ccc(c2cc(c1ccccc1)ccn2)cc3,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,1.528606903
c4ccc(c3ccnc(c2ccc(N1CCCC1)cc2)c3)cc4,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,0.465228188
COc3ccc(c2cc(c1ccccc1)ccn2)cc3,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,1.78337472
COc3ccc(c2cc(c1ccccc1)c(C)cn2)cc3,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,1.78337472
CCc2ccc(c1cccc(OC)c1)nc2,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,1.07E-05
COc3cccc(c2cc(c1ccccc1)ccn2)c3,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,0.105943053
COc2ccc(c1ccc(C)cn1)cc2,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,1.18891648
COc3cccc(c2cc(c1ccccc1)c(C)cn2)c3,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,1.07E-05
c4ccc(c3ccnc(c2ccc1ccccc1c2)c3)cc4,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,1.78337472
FC(F)(F)Oc3ccc(c2nc1ccccc1s2)cc3,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,0.972749847
c4ccc3cc(c2nc1ccccc1o2)ccc3c4,O=C(O)c2ccnc(c1cc(C(=O)O)ccn1)c2,1.070024832
c2ccc(c1ccccn1)cc2,O=c2c(=O)c1cccnc1c3ncccc23,0.15286069
Cc2ccc(c1ccc(F)cc1F)nc2,O=c2c(=O)c1cccnc1c3ncccc23,0.150707723
Cc2ccc(c1ccccc1)nc2,O=c2c(=O)c1cccnc1c3ncccc23,0.162124975
c2ccc(n1cccn1)cc2,O=c2c(=O)c1cccnc1c3ncccc23,0.164619205
c1ccc3c(c1)ccc2cccnc23,O=c2c(=O)c1cccnc1c3ncccc23,0.209808791
Cc3ccc(c2ccc(c1ccccc1)cc2)nc3,O=c2c(=O)c1cccnc1c3ncccc23,0.30572138
Cc2ccc(c1ccc(F)cc1)nc2,O=c2c(=O)c1cccnc1c3ncccc23,0.260981666
c3ccc(c2nc1ccccc1s2)cc3,O=c2c(=O)c1cccnc1c3ncccc23,0.411548012
c3ccc(c2nc1ccccc1o2)cc3,O=c2c(=O)c1cccnc1c3ncccc23,0.289195901
Cc3ccc(c2nc1ccccc1o2)cc3,O=c2c(=O)c1cccnc1c3ncccc23,0.30572138
COc3ccc(c2nc1ccccc1s2)cc3,O=c2c(=O)c1cccnc1c3ncccc23,0.509535634
COc3ccc(c2nc1ccccc1o2)cc3,O=c2c(=O)c1cccnc1c3ncccc23,0.274365341
Fc3ccc(c2nc1ccccc1o2)cc3,O=c2c(=O)c1cccnc1c3ncccc23,0.164619205
Clc3ccc(c2nc1ccccc1s2)cc3,O=c2c(=O)c1cccnc1c3ncccc23,0.314713186
Clc3ccc(c2nc1ccccc1o2)cc3,O=c2c(=O)c1cccnc1c3ncccc23,0.36897408
Cc2ccc(c1ccc(Cl)cc1)nc2,O=c2c(=O)c1cccnc1c3ncccc23,0.162124975
FC(F)(F)c3ccc(c2nc1ccccc1s2)cc3,O=c2c(=O)c1cccnc1c3ncccc23,0.314713186
FC(F)(F)c3ccc(c2nc1ccccc1o2)cc3,O=c2c(=O)c1cccnc1c3ncccc23,0.254767817
Cc2ccc(c1cccc(C#N)c1)nc2,O=c2c(=O)c1cccnc1c3ncccc23,0.100945739
COc2cccc(c1ccc(C)cn1)c2,O=c2c(=O)c1cccnc1c3ncccc23,1.07E-05
Cc2ccc(c1ccc(S(C)(=O)=O)cc1)nc2,O=c2c(=O)c1cccnc1c3ncccc23,0.237783296
Cc2ccc(c1ccc(OC(F)(F)F)cc1)nc2,O=c2c(=O)c1cccnc1c3ncccc23,0.150707723
Cc3ccc(c2ccc1ccccc1c2)nc3,O=c2c(=O)c1cccnc1c3ncccc23,0.150707723
Cc2ccc(c1ccc(C)cn1)cc2,O=c2c(=O)c1cccnc1c3ncccc23,0.113832429
Cc4ccc(c3ccc(N(c1ccccc1)c2ccccc2)cc3)nc4,O=c2c(=O)c1cccnc1c3ncccc23,1.07E-05
c4ccc(c3ccc(c2cc(c1ccccc1)ccn2)cc3)cc4,O=c2c(=O)c1cccnc1c3ncccc23,0.33438276
Fc2ccc(c1ccccn1)cc2,O=c2c(=O)c1cccnc1c3ncccc23,0.382151726
Cc2ccc(c1cccc(F)c1)nc2,O=c2c(=O)c1cccnc1c3ncccc23,0.254767817
