seed,maximum observed pce
717478,11.0473692569016
39116,10.8976976681277
100492,10.9633545131964
840320,10.9562423894959
175022,10.9817855272726
69914,10.9920413021543
634518,10.9920413021543
361357,10.8976976681277
343970,11.0588027299478
964561,10.8194275731987
959051,10.9058743592302
915480,11.0473692569016
826331,10.8248522711892
833366,11.0473692569016
906699,10.8847043322863
575883,10.8976976681277
434669,10.9633545131964
487395,11.0473692569016
869104,10.8194275731987
449153,10.8976976681277
594590,11.0451256130189
458907,11.0473692569016
870961,10.8976976681277
544676,10.9976537605035
336797,10.9430303296221
587163,11.0473692569016
574846,10.9430303296221
847983,11.0473692569016
461668,10.9976537605035
148851,11.0451256130189
432221,10.9430303296221
411163,10.9633545131964
67474,11.0473692569016
434444,11.0473692569016
300044,11.0451256130189
154360,11.0451256130189
205541,10.9719516877311
149354,10.5170693551012
325128,10.8248522711892
221248,10.8255985460364
727373,11.0473692569016
964142,11.0473692569016
692983,10.8976976681277
982946,11.0451256130189
791716,11.0473692569016
973438,11.0473692569016
760494,10.9633545131964
527794,10.9719516877311
856156,11.0473692569016
217732,11.0473692569016
