seed,maximum observed pce
220044,10.9839253156516
272277,10.8719896234517
404119,10.8719896234517
27199,10.9779085001327
204535,11.0265167184254
231253,10.3403936620694
414817,10.8719896234517
764230,10.9571002797576
590013,10.8001481453297
5584,10.6597650709197
677181,10.8719896234517
837732,10.7591860355215
267057,10.8804404998179
709581,11.0544924570224
373390,10.7591860355215
744900,11.0265167184254
186959,10.5713444748846
854264,11.103894599142
28425,10.8804404998179
308286,10.6402081707175
707573,11.103894599142
925654,10.4305457645374
888591,10.7505260621269
77295,11.0544924570224
384020,11.0265167184254
9035,10.8742064634078
113205,10.8742064634078
444440,10.9779085001327
364729,11.0544924570224
442684,10.7505260621269
828424,10.7591860355215
788820,11.0436391313038
101825,11.0544924570224
909443,10.9571002797576
410645,10.7505260621269
538303,10.8804404998179
608678,10.8001481453297
314360,11.0265167184254
279994,10.9779085001327
751009,11.0544924570224
69834,11.0436391313038
482526,11.103894599142
451735,10.7591860355215
269995,10.619270135997
605794,10.7591860355215
336222,11.0544924570224
592796,10.8001481453297
552,10.619270135997
759749,11.0544924570224
743350,10.7505260621269
