seed,maximum observed pce, 2, 3, 4, 5
220044,10.9839253156516,10.7505260621269,10.6449020733597,10.5118511563087,10.3764830345233
272277,10.8719896234517,10.712630582365,10.521923984124,10.4758319239967,10.474582094316
404119,10.8719896234517,10.712630582365,10.6972530378502,10.6272908143534,10.619270135997
27199,10.9779085001327,10.6449020733597,10.2486370674431,10.1873063049597,10.1238234400753
204535,11.0265167184254,10.8902370943299,10.521923984124,10.4758319239967,10.4414560602247
231253,10.3403936620694,10.3301423088936,10.2369695693727,10.0084785052298,9.98875510973154
414817,10.8719896234517,10.712630582365,10.619270135997,10.5972855706825,10.583832095113
764230,10.9571002797576,10.6640765956176,10.5771468647625,10.551214721625,10.4126361336996
590013,10.8001481453297,10.7505260621269,10.6597650709197,10.417216304101,10.3764830345233
5584,10.6597650709197,10.6402081707175,10.6322859856204,10.474582094316,10.4502923943518
677181,10.8719896234517,10.7840928175238,10.6972530378502,10.6272908143534,10.5972855706825
837732,10.7591860355215,10.7505260621269,10.2667868465829,10.2613287377403,10.1827910770979
267057,10.8804404998179,10.7505260621269,10.6449020733597,10.5771468647625,10.3764830345233
709581,11.0544924570224,11.0265167184254,10.8902370943299,10.6358097251423,10.4758319239967
373390,10.7591860355215,10.3851124060276,10.2339371679351,10.2105600451396,10.15964994186
744900,11.0265167184254,10.8742064634078,10.6597650709197,10.619270135997,10.417216304101
186959,10.5713444748846,10.2469558310135,9.63511194595009,9.56373958094544,9.32197668879186
854264,11.103894599142,10.6640765956176,10.5771468647625,10.474582094316,10.4708683946424
28425,10.8804404998179,10.8611752048125,10.6854105941361,10.5771468647625,10.551214721625
308286,10.6402081707175,10.4129341706476,10.3851124060276,10.2604979835781,10.1873063049597
707573,11.103894599142,10.521923984124,10.4502923943518,10.3951171258546,10.3403936620694
925654,10.4305457645374,10.4129341706476,10.3128021972512,10.2604979835781,10.2105600451396
888591,10.7505260621269,10.3764830345233,10.1812267552662,10.0165805589592,10.0021728531299
77295,11.0544924570224,10.6854105941361,10.6605156723447,10.4758319239967,10.4708683946424
384020,11.0265167184254,10.9779085001327,10.8902370943299,10.3206389290273,10.2486370674431
9035,10.8742064634078,10.521923984124,10.4305457645374,10.4143563789413,10.3851124060276
113205,10.8742064634078,10.7505260621269,10.4129341706476,10.3764830345233,10.1715838341195
444440,10.9779085001327,10.8001481453297,10.2486370674431,10.1189510718685,10.0708944069111
364729,11.0544924570224,10.8001481453297,10.6605156723447,10.6358097251423,10.5269735276916
442684,10.7505260621269,10.6173456353998,10.5675242480435,10.4969961030851,10.3764830345233
828424,10.7591860355215,10.7505260621269,10.6449020733597,10.4529186532602,10.3764830345233
788820,11.0436391313038,10.9779085001327,10.4966810998435,10.2105600451396,10.15964994186
101825,11.0544924570224,10.6605156723447,10.6358097251423,10.5269735276916,10.474582094316
909443,10.9571002797576,10.7505260621269,10.6449020733597,10.3764830345233,10.2613287377403
410645,10.7505260621269,10.6449020733597,10.3764830345233,10.1827910770979,10.1010096309182
538303,10.8804404998179,10.7591860355215,10.5713444748846,10.4242265359155,10.4154864400866
608678,10.8001481453297,10.5284434905881,10.3428433404099,10.2887963399909,10.247438115808
314360,11.0265167184254,10.8902370943299,10.4969961030851,10.334607657502,10.3206389290273
279994,10.9779085001327,10.9571002797576,10.7505260621269,10.6605156723447,10.3764830345233
751009,11.0544924570224,10.9779085001327,10.8611752048125,10.6854105941361,10.5269735276916
69834,11.0436391313038,10.9779085001327,10.7505260621269,10.3764830345233,10.2613287377403
482526,11.103894599142,11.0544924570224,10.6597650709197,10.6173456353998,10.4969961030851
451735,10.7591860355215,10.7505260621269,10.6449020733597,10.4242265359155,10.3764830345233
269995,10.619270135997,10.6173456353998,10.583832095113,10.4969961030851,10.4154864400866
605794,10.7591860355215,10.7505260621269,10.6449020733597,10.3764830345233,10.2613287377403
336222,11.0544924570224,10.6949618406276,10.5269735276916,10.4154864400866,10.3403936620694
592796,10.8001481453297,10.6597650709197,10.5269735276916,10.417216304101,10.3428433404099
552,10.619270135997,10.6173456353998,10.5972855706825,10.583832095113,10.2486370674431
759749,11.0544924570224,10.5269735276916,10.4969961030851,10.4966810998435,10.334607657502
743350,10.7505260621269,10.6449020733597,10.4529186532602,10.3764830345233,10.2613287377403
