seed,maximum observed pce
717478,10.9430303296221
39116,11.0451256130189
100492,10.9976537605035
840320,11.0473692569016
175022,11.0473692569016
69914,10.6242975011291
634518,11.0473692569016
361357,10.9633545131964
343970,11.0451256130189
964561,11.0451256130189
959051,10.8248522711892
915480,10.9430303296221
826331,10.8976976681277
833366,10.9633545131964
906699,11.0473692569016
575883,11.0473692569016
434669,10.8194275731987
487395,11.0816180484775
869104,10.9633545131964
449153,10.8077481592079
594590,10.6632090097153
458907,11.0473692569016
870961,10.9605941216138
544676,11.0473692569016
336797,11.0473692569016
587163,11.0473692569016
574846,11.0816180484775
847983,11.0451256130189
461668,10.9605941216138
148851,10.6242975011291
432221,10.6933580246131
411163,10.9430303296221
67474,10.9058743592302
434444,11.0473692569016
300044,11.0451256130189
154360,11.0473692569016
205541,10.9719516877311
149354,10.9633545131964
325128,10.8976976681277
221248,10.9976537605035
727373,10.6719232106301
964142,10.8976976681277
692983,11.0473692569016
982946,10.9976537605035
791716,11.0473692569016
973438,10.9920413021543
760494,11.0473692569016
527794,10.9719516877311
856156,11.0588027299478
217732,10.7363867284263
