seed,maximum observed yield
206800,100.0
529737,100.0
380185,100.0
975225,100.0
139177,91.27
37653,100.0
581158,100.0
112952,100.0
750338,99.81
21123,100.0
329462,89.17
311508,91.27
791348,100.0
234176,100.0
394752,99.22
675165,100.0
322960,89.14
536054,89.17
934956,89.17
412813,100.0
41709,96.64
735770,99.81
43825,99.98
389598,100.0
128120,95.48
537162,100.0
781899,100.0
173457,100.0
713746,89.17
996160,100.0
298314,88.89
235392,100.0
512007,89.17
8416,89.14
643117,100.0
476551,88.41
489716,87.83
194632,100.0
510695,88.89
607810,100.0
542965,84.62
650677,99.98
824002,100.0
608223,100.0
317033,100.0
371464,100.0
859993,91.27
913351,100.0
459928,100.0
444500,92.19
