seed,maximum observed yield
69555,95.97
349357,92.77
254273,91.08
243636,95.36
384015,100.0
552434,95.99
202416,96.74
43094,95.06
852541,90.18
305766,97.98
513641,93.81
607876,95.95
13229,99.15
425116,97.09
572709,95.36
935837,96.3
851336,98.61
255899,98.2
353413,96.04
801675,96.02
248044,95.53
937179,96.32
946826,93.82
865426,95.88
899728,100.0
116213,100.0
517518,95.53
922747,96.48
86211,96.74
505666,89.03
104849,98.69
235635,95.0
528062,93.82
529124,97.83
86986,96.04
557150,97.45
759578,95.65
551808,96.3
216214,94.85
662488,93.84
22256,92.03
732444,96.89
463112,94.82
917991,93.43
441657,95.53
160548,95.37
680139,94.41
887786,98.69
626606,96.3
576660,96.38
