seed,maximum observed yield
593807,99.05
606997,96.14
25759,99.15
67623,99.15
16346,96.76
647742,98.2
230984,96.61
204265,98.53
309490,97.83
14187,98.42
646153,94.33
863122,95.97
676192,100.0
513636,99.05
477904,96.7
511278,98.2
461051,100.0
80013,98.2
776320,96.7
611994,96.74
370957,99.15
140091,100.0
524487,96.74
127356,98.69
729920,97.98
661545,100.0
331784,96.97
387458,98.69
626644,100.0
822879,98.42
273346,96.74
531454,100.0
852322,99.05
667778,98.2
273545,98.2
400150,99.15
481304,98.61
464295,99.05
736591,99.05
401029,99.05
773636,98.2
932033,99.15
106658,98.69
815714,97.45
45181,98.69
772889,98.61
806934,96.48
2000,99.15
463614,100.0
573128,96.57
