,method,0,1,2,3,4,5,6,7,8,9,10
14,TS,70.45,91.93,91.93,94.33,96.75,96.75,96.75,96.75,99.15,100.0,100.0
15,TS,80.65,90.81,97.83,97.83,97.83,97.83,97.83,97.83,97.83,97.83,97.83
16,TS,83.83,91.73,93.12,93.12,93.12,93.12,98.69,98.69,98.69,98.69,98.69
17,TS,94.85,94.85,94.85,94.85,96.75,96.75,96.75,96.75,96.75,96.75,96.75
18,TS,94.13,94.13,94.13,94.13,94.13,95.65,95.65,99.05,99.05,99.15,99.15
19,TS,97.45,97.45,97.45,97.45,99.05,99.05,99.05,99.05,99.05,99.05,99.05
20,TS,77.29,96.32,96.32,96.32,96.32,96.32,100.0,100.0,100.0,100.0,100.0
21,TS,90.3,93.62,93.62,93.62,96.97,96.97,96.97,96.97,99.05,99.15,99.15
22,TS,82.07,91.47,91.47,94.83,94.83,94.83,98.2,98.2,98.2,98.2,98.42
23,TS,92.83,92.83,94.33,94.33,94.33,94.33,94.33,94.33,94.33,94.33,94.33
24,TS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
25,TS,91.59,91.59,91.59,91.59,91.59,93.7,95.65,95.65,95.65,95.65,95.65
26,TS,65.61,83.71,83.71,89.13,96.28,96.3,96.3,96.61,96.61,96.61,96.74
27,TS,90.92,90.92,90.92,90.92,95.34,100.0,100.0,100.0,100.0,100.0,100.0
28,TS,82.98,82.98,94.39,96.25,96.25,96.25,96.48,96.48,96.48,96.48,96.48
29,TS,93.28,93.28,93.28,93.38,94.6,94.6,96.97,99.15,99.15,99.15,99.15
30,TS,44.69,88.9,94.13,94.13,94.13,94.13,94.13,94.13,94.13,94.47,94.47
31,TS,98.53,98.53,98.53,98.53,98.53,98.53,98.53,98.53,98.53,98.53,98.53
32,TS,93.62,96.25,96.25,96.25,96.25,96.25,96.25,96.25,96.25,96.25,96.25
33,TS,94.71,94.71,94.71,94.71,94.71,98.69,98.69,98.69,98.69,98.69,98.69
34,TS,86.11,86.11,86.11,91.73,91.75,94.82,98.69,98.69,98.69,98.69,98.69
35,TS,93.94,93.94,93.94,94.47,94.47,96.05,96.05,96.05,96.48,96.7,96.7
36,TS,90.92,96.25,96.25,96.25,96.25,96.25,96.25,96.48,98.2,99.15,99.15
37,TS,70.14,83.25,84.49,84.49,84.49,92.08,94.47,94.47,94.47,96.42,98.69
38,TS,71.16,92.01,92.01,92.01,95.85,95.85,95.85,95.85,95.85,98.69,98.69
39,TS,68.62,68.72,68.72,91.89,95.97,95.97,95.97,95.97,95.97,96.48,96.48
40,TS,79.94,92.54,94.67,94.67,94.67,94.67,94.67,94.67,94.67,98.69,98.69
41,TS,91.47,91.47,93.31,94.33,96.48,96.48,96.48,96.48,96.48,96.48,96.48
42,TS,86.97,88.09,88.09,96.2,96.2,96.2,96.2,96.2,96.2,96.3,98.69
43,TS,71.22,73.98,95.58,96.04,96.04,98.2,98.2,98.69,98.69,98.69,98.69
44,TS,72.82,73.08,76.44,89.78,89.78,89.78,89.78,96.28,96.28,96.28,96.28
45,TS,93.65,93.65,93.65,96.38,96.38,97.42,97.42,97.42,97.42,97.42,97.42
46,TS,22.51,91.24,91.24,96.61,96.61,96.61,99.15,99.15,99.15,99.15,99.15
47,TS,68.57,89.72,96.0,96.0,96.0,96.0,96.0,96.0,96.3,99.05,99.15
48,TS,50.85,82.32,96.49,96.49,96.49,96.49,96.49,96.49,96.74,96.74,98.69
49,TS,95.06,95.06,95.06,96.05,96.05,96.05,96.05,96.05,96.05,96.05,96.05
0,greedy,90.33,93.05,96.04,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,greedy,82.32,90.57,91.45,94.15,95.06,95.06,95.06,95.06,95.06,95.06,95.06
2,greedy,94.6,94.6,95.65,96.14,96.14,96.14,96.14,97.45,97.45,97.45,97.45
3,greedy,92.13,92.13,93.52,93.52,93.52,93.52,95.06,95.97,95.97,95.97,95.97
4,greedy,90.6,96.05,96.05,96.3,96.3,96.3,96.3,98.42,98.42,98.42,98.42
5,greedy,93.79,95.34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
6,greedy,96.6,96.7,96.7,96.7,96.7,97.42,97.42,98.53,98.53,98.53,98.53
7,greedy,75.63,89.22,94.08,96.0,96.0,96.0,96.28,99.15,99.15,99.15,99.15
8,greedy,30.63,30.63,53.52,61.29,61.29,70.51,70.51,96.05,96.05,96.05,96.3
9,greedy,89.96,93.65,98.69,98.69,98.69,98.69,98.69,98.69,98.69,98.69,98.69
10,greedy,92.3,92.3,94.03,94.41,94.41,94.41,96.74,98.69,98.69,98.69,98.69
11,greedy,95.37,96.3,96.74,96.74,96.74,96.74,96.74,96.74,96.74,98.69,98.69
12,greedy,93.44,94.26,94.26,94.26,94.33,94.33,94.33,94.33,94.33,94.33,94.33
13,greedy,89.93,93.95,93.95,95.97,96.15,96.48,98.42,98.42,98.42,98.61,98.61
14,greedy,70.45,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.97
15,greedy,80.65,91.08,93.82,98.69,98.69,98.69,100.0,100.0,100.0,100.0,100.0
16,greedy,83.83,85.96,94.6,94.6,94.6,94.6,94.6,96.97,96.97,96.97,96.97
17,greedy,94.85,96.25,96.75,97.83,97.83,97.83,97.83,97.83,97.83,97.83,97.83
18,greedy,94.13,94.13,94.13,94.13,99.05,99.15,100.0,100.0,100.0,100.0,100.0
19,greedy,97.45,97.45,97.45,97.45,97.45,97.45,97.45,98.2,98.69,98.69,98.69
20,greedy,77.29,88.99,91.07,95.85,95.85,95.85,95.85,95.85,95.85,95.85,98.2
21,greedy,90.3,90.3,97.83,97.83,97.83,97.83,97.83,97.83,97.83,97.83,97.83
22,greedy,82.07,93.3,95.88,95.88,95.88,98.42,98.42,98.42,98.42,98.42,98.42
23,greedy,92.83,93.67,93.67,93.67,93.67,93.67,93.67,93.67,93.67,93.67,93.67
24,greedy,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
25,greedy,91.59,91.59,95.65,95.97,95.97,96.38,96.38,96.38,99.05,99.05,99.15
26,greedy,65.61,83.98,85.75,95.37,96.3,96.3,96.74,96.74,96.74,96.74,96.74
27,greedy,90.92,92.04,92.04,96.49,96.49,96.49,96.49,96.49,96.49,97.32,97.32
28,greedy,82.98,91.07,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85
29,greedy,93.28,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
30,greedy,44.69,82.62,83.96,90.23,92.77,98.42,98.42,98.42,98.42,99.15,99.15
31,greedy,98.53,98.53,98.53,98.53,98.53,98.53,98.53,98.53,98.53,98.53,98.53
32,greedy,93.62,93.62,93.81,93.81,96.42,96.42,96.42,98.2,98.69,98.69,98.69
33,greedy,94.71,96.42,96.42,96.42,98.2,98.69,98.69,98.69,98.69,98.69,98.69
34,greedy,86.11,95.06,95.06,95.06,95.06,95.06,95.06,95.06,95.06,95.65,95.65
35,greedy,93.94,98.42,98.42,98.42,98.42,98.42,98.42,98.42,98.42,98.42,98.42
36,greedy,90.92,90.92,94.64,94.64,98.2,98.2,98.2,98.2,98.2,98.2,98.2
37,greedy,70.14,85.85,96.3,96.3,96.3,96.75,96.75,97.83,98.42,98.42,98.42
38,greedy,71.16,90.3,90.3,92.83,93.67,93.67,93.67,93.67,93.67,93.67,93.67
39,greedy,68.62,82.99,89.29,98.69,98.69,98.69,98.69,98.69,98.69,98.69,98.69
40,greedy,79.94,84.34,90.0,95.8,95.8,95.8,95.8,95.85,95.85,95.85,95.85
41,greedy,91.47,94.82,94.82,94.82,94.82,94.82,94.82,94.82,94.82,94.82,95.88
42,greedy,86.97,94.13,94.13,95.97,95.97,95.97,95.97,95.97,95.97,95.97,95.97
43,greedy,71.22,83.98,85.75,95.37,95.37,96.3,96.3,96.3,96.48,98.42,98.42
44,greedy,72.82,75.62,75.62,77.02,77.02,87.49,93.43,93.44,93.44,93.95,93.95
45,greedy,93.65,94.47,96.7,96.7,98.69,98.69,98.69,98.69,98.69,98.69,98.69
46,greedy,22.51,22.51,24.63,26.16,26.16,96.76,96.76,96.76,96.76,96.76,96.76
47,greedy,68.57,88.05,92.7,92.7,97.45,97.45,97.45,97.45,98.53,98.69,98.69
48,greedy,50.85,82.54,92.96,96.3,96.3,96.3,96.3,96.75,97.83,97.83,97.83
49,greedy,95.06,96.04,96.04,96.04,96.04,96.04,96.04,96.04,98.69,98.69,98.69
0,MeanMax,90.33,96.04,96.04,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,MeanMax,82.32,90.57,91.45,91.45,95.06,96.04,96.04,96.04,96.38,96.38,96.38
2,MeanMax,94.6,94.6,95.65,96.14,96.14,96.14,96.14,96.14,96.14,96.97,96.97
3,MeanMax,92.13,92.13,93.52,93.52,93.52,93.52,95.97,95.97,95.97,95.97,96.48
