seed,maximum observed yield
905920,96.02
754663,96.16
770386,95.85
157151,96.7
171371,95.95
33630,99.15
420858,97.09
735644,94.67
529420,97.09
631904,96.16
49766,99.15
692497,96.28
726529,96.15
922989,98.61
504494,96.14
382952,95.06
530368,97.09
536861,98.53
275365,97.09
239638,98.53
189866,98.69
896787,98.69
576117,97.32
52455,99.15
177569,100.0
538415,95.95
689688,98.69
733105,98.69
332791,96.04
647337,98.69
815428,94.03
734846,100.0
770215,94.33
355595,100.0
398132,96.48
733202,99.15
777915,96.7
456660,95.97
277534,98.2
721936,98.69
849510,98.69
59912,98.69
225510,99.05
774044,97.98
453306,93.78
190993,97.42
52571,95.06
804255,95.65
914275,98.69
876427,96.42
