seed,maximum observed yield
279983,100.0
638391,99.98
580569,99.81
456273,99.98
424312,89.14
955960,99.22
736671,99.22
480485,89.71
541060,99.22
701591,99.81
947230,99.98
701607,100.0
526139,99.81
318705,99.98
965352,99.22
711666,99.22
893256,99.81
39080,99.81
433742,88.89
525112,99.98
7202,99.22
630468,79.76
952978,99.81
432383,99.81
451873,99.81
180550,99.98
959078,99.22
827663,96.64
589526,100.0
409199,85.21
877997,99.81
618495,99.81
913256,95.48
240544,99.81
370084,99.98
137637,84.17
275815,80.86
75860,99.98
976364,96.64
615810,96.64
505765,100.0
691624,66.9
549616,92.19
511015,88.41
217619,84.62
971613,99.81
659041,99.22
960380,99.98
499047,99.98
968274,99.98
