Electrophile,Nucleophile,Catalyst,Base,MISER Area Count
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1c2c(C(C)C)cc(C(C)C)cc2C(C)C,CCN(CC)P1(=NC(C)(C)C)NCCCN1C,510
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1c2c(C(C)C)cc(C(C)C)cc2C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,380
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1c2c(C(C)C)cc(C(C)C)cc2C(C)C,CN(C)P(=NC(C)(C)CC(C)(C)C)(N(C)C)N(C)C,415
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1c2c(C(C)C)cc(C(C)C)cc2C(C)C,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,289
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1c2c(C(C)C)cc(C(C)C)cc2C(C)C,CN(C)P(=NC(C)(C)C)(N=P(N(C)C)(N(C)C)N(C)C)N(C)C,259
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,COc2ccc(C)c(c1c(C(C)C)cc(C(C)C)cc1C(C)C)c2P(C(C)(C)C)C(C)(C)C,C2CCC1=NCCCN1CC2,250
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,COc2ccc(C)c(c1c(C(C)C)cc(C(C)C)cc1C(C)C)c2P(C(C)(C)C)C(C)(C)C,CN1CCCN2CCCN=C12,232
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,COc2ccc(C)c(c1c(C(C)C)cc(C(C)C)cc1C(C)C)c2P(C(C)(C)C)C(C)(C)C,CN(C)/C(=N\C(C)(C)C)N(C)C,247
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,COc2ccc(C)c(c1c(C(C)C)cc(C(C)C)cc1C(C)C)c2P(C(C)(C)C)C(C)(C)C,CCN(CC)P1(=NC(C)(C)C)NCCCN1C,267
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,COc2ccc(C)c(c1c(C(C)C)cc(C(C)C)cc1C(C)C)c2P(C(C)(C)C)C(C)(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,247
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,COc2ccc(C)c(c1c(C(C)C)cc(C(C)C)cc1C(C)C)c2P(C(C)(C)C)C(C)(C)C,CN(C)P(=NC(C)(C)CC(C)(C)C)(N(C)C)N(C)C,246
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,COc2ccc(C)c(c1c(C(C)C)cc(C(C)C)cc1C(C)C)c2P(C(C)(C)C)C(C)(C)C,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,252
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,COc2ccc(C)c(c1c(C(C)C)cc(C(C)C)cc1C(C)C)c2P(C(C)(C)C)C(C)(C)C,CN(C)P(=NC(C)(C)C)(N=P(N(C)C)(N(C)C)N(C)C)N(C)C,246
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,COc7ccc(OC)c(P(C23CC1CC(CC(C1)C2)C3)C56CC4CC(CC(C4)C5)C6)c7c8c(C(C)C)cc(C(C)C)cc8C(C)C,C2CCC1=NCCCN1CC2,244
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,COc7ccc(OC)c(P(C23CC1CC(CC(C1)C2)C3)C56CC4CC(CC(C4)C5)C6)c7c8c(C(C)C)cc(C(C)C)cc8C(C)C,CN1CCCN2CCCN=C12,267
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,COc7ccc(OC)c(P(C23CC1CC(CC(C1)C2)C3)C56CC4CC(CC(C4)C5)C6)c7c8c(C(C)C)cc(C(C)C)cc8C(C)C,CN(C)/C(=N\C(C)(C)C)N(C)C,258
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,COc7ccc(OC)c(P(C23CC1CC(CC(C1)C2)C3)C56CC4CC(CC(C4)C5)C6)c7c8c(C(C)C)cc(C(C)C)cc8C(C)C,CCN(CC)P1(=NC(C)(C)C)NCCCN1C,254
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,COc7ccc(OC)c(P(C23CC1CC(CC(C1)C2)C3)C56CC4CC(CC(C4)C5)C6)c7c8c(C(C)C)cc(C(C)C)cc8C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,238
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,COc7ccc(OC)c(P(C23CC1CC(CC(C1)C2)C3)C56CC4CC(CC(C4)C5)C6)c7c8c(C(C)C)cc(C(C)C)cc8C(C)C,CN(C)P(=NC(C)(C)CC(C)(C)C)(N(C)C)N(C)C,255
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,COc7ccc(OC)c(P(C23CC1CC(CC(C1)C2)C3)C56CC4CC(CC(C4)C5)C6)c7c8c(C(C)C)cc(C(C)C)cc8C(C)C,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,239
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,COc7ccc(OC)c(P(C23CC1CC(CC(C1)C2)C3)C56CC4CC(CC(C4)C5)C6)c7c8c(C(C)C)cc(C(C)C)cc8C(C)C,CN(C)P(=NC(C)(C)C)(N=P(N(C)C)(N(C)C)N(C)C)N(C)C,251
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,CC(C)(C)P(c1cc[cH-]c1)C(C)(C)C.CC(C)(C)P(c1cc[cH-]c1)C(C)(C)C.[Fe+2],C2CCC1=NCCCN1CC2,238
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,CC(C)(C)P(c1cc[cH-]c1)C(C)(C)C.CC(C)(C)P(c1cc[cH-]c1)C(C)(C)C.[Fe+2],CN1CCCN2CCCN=C12,268
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,CC(C)(C)P(c1cc[cH-]c1)C(C)(C)C.CC(C)(C)P(c1cc[cH-]c1)C(C)(C)C.[Fe+2],CN(C)/C(=N\C(C)(C)C)N(C)C,262
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,CC(C)(C)P(c1cc[cH-]c1)C(C)(C)C.CC(C)(C)P(c1cc[cH-]c1)C(C)(C)C.[Fe+2],CCN(CC)P1(=NC(C)(C)C)NCCCN1C,255
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,CC(C)(C)P(c1cc[cH-]c1)C(C)(C)C.CC(C)(C)P(c1cc[cH-]c1)C(C)(C)C.[Fe+2],CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,248
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,CC(C)(C)P(c1cc[cH-]c1)C(C)(C)C.CC(C)(C)P(c1cc[cH-]c1)C(C)(C)C.[Fe+2],CN(C)P(=NC(C)(C)CC(C)(C)C)(N(C)C)N(C)C,254
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,CC(C)(C)P(c1cc[cH-]c1)C(C)(C)C.CC(C)(C)P(c1cc[cH-]c1)C(C)(C)C.[Fe+2],CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,241
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,CCOC(=O)N1CCNCC1,CC(C)(C)P(c1cc[cH-]c1)C(C)(C)C.CC(C)(C)P(c1cc[cH-]c1)C(C)(C)C.[Fe+2],CN(C)P(=NC(C)(C)C)(N=P(N(C)C)(N(C)C)N(C)C)N(C)C,255
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,CC(C)c4cc(C(C)C)c(c1ccccc1P(C2CCCCC2)C3CCCCC3)c(C(C)C)c4,C2CCC1=NCCCN1CC2,286
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,CC(C)c4cc(C(C)C)c(c1ccccc1P(C2CCCCC2)C3CCCCC3)c(C(C)C)c4,CN1CCCN2CCCN=C12,304
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,CC(C)c4cc(C(C)C)c(c1ccccc1P(C2CCCCC2)C3CCCCC3)c(C(C)C)c4,CN(C)/C(=N\C(C)(C)C)N(C)C,333
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,CC(C)c4cc(C(C)C)c(c1ccccc1P(C2CCCCC2)C3CCCCC3)c(C(C)C)c4,CCN(CC)P1(=NC(C)(C)C)NCCCN1C,328
O=C2OC(Cn1ccnn1)CN2c3ccc(I)c(F)c3,NS(=O)(=O)c1cccs1,CC(C)c4cc(C(C)C)c(c1ccccc1P(C2CCCCC2)C3CCCCC3)c(C(C)C)c4,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,344
